date,home_team,score,away_team
15-04-2023,Suwon Bluewings,2 - 3,Jeju United FC
23-04-2023,Jeju United FC,0 - 2,Jeonbuk Motors
26-04-2023,Gwangju FC,0 - 1,Jeju United FC
30-04-2023,Daejeon Citizen,0 - 3,Jeju United FC
06-05-2023,Jeju United FC,2 - 1,Pohang Steelers
10-05-2023,Jeju United FC,2 - 0,Incheon United
14-05-2023,Suwon City FC,0 - 5,Jeju United FC
20-05-2023,FC Seoul,1 - 1,Jeju United FC
27-05-2023,Jeju United FC,2 - 1,Suwon Bluewings
03-06-2023,Jeju United FC,2 - 2,Gangwon FC
06-06-2023,Pohang Steelers,2 - 1,Jeju United FC
10-06-2023,Ulsan Hyundai FC,5 - 1,Jeju United FC
24-06-2023,Jeju United FC,1 - 1,Daejeon Citizen
01-07-2023,Jeonbuk Motors,2 - 0,Jeju United FC
07-07-2023,Jeju United FC,1 - 2,Daegu FC
11-07-2023,Jeju United FC,0 - 0,Gwangju FC
16-07-2023,Pohang Steelers,4 - 2,Jeju United FC
21-07-2023,Ulsan Hyundai FC,2 - 1,Jeju United FC
06-08-2023,Jeju United FC,1 - 1,Gangwon FC
12-08-2023,Jeju United FC,3 - 0,Suwon City FC
18-08-2023,Suwon Bluewings,1 - 0,Jeju United FC
26-08-2023,Daegu FC,1 - 0,Jeju United FC
03-09-2023,Jeju United FC,0 - 0,Jeonbuk Motors
16-09-2023,Incheon United,2 - 1,Jeju United FC
23-09-2023,Jeju United FC,1 - 3,FC Seoul
01-10-2023,Jeju United FC,1 - 2,Gwangju FC
08-10-2023,Daejeon Citizen,1 - 0,Jeju United FC
22-10-2023,Jeju United FC,2 - 0,Suwon Bluewings
28-10-2023,Gangwon FC,1 - 1,Jeju United FC
11-11-2023,Jeju United FC,0 - 0,FC Seoul
25-11-2023,Jeju United FC,0 - 2,Daejeon Citizen
02-12-2023,Suwon City FC,1 - 1,Jeju United FC
25-02-2023,Ulsan Hyundai FC,2 - 1,Jeonbuk Motors
05-03-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
12-03-2023,Jeonbuk Motors,2 - 0,Gwangju FC
19-03-2023,Daegu FC,2 - 0,Jeonbuk Motors
01-04-2023,Jeonbuk Motors,1 - 2,Pohang Steelers
09-04-2023,Jeonbuk Motors,2 - 0,Incheon United
15-04-2023,Suwon City FC,1 - 0,Jeonbuk Motors
23-04-2023,Jeju United FC,0 - 2,Jeonbuk Motors
26-04-2023,Jeonbuk Motors,1 - 2,Daejeon Citizen
29-04-2023,Jeonbuk Motors,0 - 1,Gangwon FC
05-05-2023,FC Seoul,1 - 1,Jeonbuk Motors
10-05-2023,Suwon Bluewings,0 - 3,Jeonbuk Motors
14-05-2023,Incheon United,0 - 0,Jeonbuk Motors
21-05-2023,Jeonbuk Motors,3 - 1,Suwon City FC
29-05-2023,Pohang Steelers,1 - 0,Jeonbuk Motors
03-06-2023,Jeonbuk Motors,2 - 0,Ulsan Hyundai FC
07-06-2023,Jeonbuk Motors,1 - 0,Daegu FC
11-06-2023,Gangwon FC,1 - 2,Jeonbuk Motors
24-06-2023,Gwangju FC,2 - 0,Jeonbuk Motors
01-07-2023,Jeonbuk Motors,2 - 0,Jeju United FC
08-07-2023,Jeonbuk Motors,2 - 1,FC Seoul
12-07-2023,Daejeon Citizen,2 - 2,Jeonbuk Motors
16-07-2023,Jeonbuk Motors,1 - 0,Suwon City FC
21-07-2023,Pohang Steelers,2 - 1,Jeonbuk Motors
06-08-2023,Jeonbuk Motors,2 - 0,Incheon United
12-08-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
19-08-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
25-08-2023,Jeonbuk Motors,1 - 1,Daejeon Citizen
03-09-2023,Jeju United FC,0 - 0,Jeonbuk Motors
16-09-2023,Jeonbuk Motors,1 - 3,Gangwon FC
24-09-2023,Gwangju FC,0 - 1,Jeonbuk Motors
30-09-2023,Jeonbuk Motors,1 - 3,Daegu FC
08-10-2023,FC Seoul,0 - 2,Jeonbuk Motors
21-10-2023,Daegu FC,1 - 2,Jeonbuk Motors
28-10-2023,Jeonbuk Motors,1 - 1,Pohang Steelers
12-11-2023,Incheon United,1 - 1,Jeonbuk Motors
25-11-2023,Jeonbuk Motors,2 - 0,Gwangju FC
03-12-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
26-02-2023,Pohang Steelers,3 - 2,Daegu FC
04-03-2023,Suwon City FC,1 - 2,Pohang Steelers
11-03-2023,Daejeon Citizen,0 - 0,Pohang Steelers
18-03-2023,Pohang Steelers,1 - 1,Gangwon FC
01-04-2023,Jeonbuk Motors,1 - 2,Pohang Steelers
08-04-2023,Pohang Steelers,2 - 0,Gwangju FC
15-04-2023,Pohang Steelers,1 - 1,FC Seoul
22-04-2023,Ulsan Hyundai FC,2 - 2,Pohang Steelers
25-04-2023,Pohang Steelers,1 - 0,Suwon Bluewings
30-04-2023,Pohang Steelers,0 - 2,Incheon United
06-05-2023,Jeju United FC,2 - 1,Pohang Steelers
09-05-2023,Daegu FC,1 - 1,Pohang Steelers
13-05-2023,Pohang Steelers,3 - 2,Daejeon Citizen
21-05-2023,Gangwon FC,0 - 0,Pohang Steelers
29-05-2023,Pohang Steelers,1 - 0,Jeonbuk Motors
03-06-2023,Gwangju FC,4 - 2,Pohang Steelers
06-06-2023,Pohang Steelers,2 - 1,Jeju United FC
11-06-2023,FC Seoul,1 - 1,Pohang Steelers
25-06-2023,Incheon United,0 - 1,Pohang Steelers
02-07-2023,Pohang Steelers,3 - 1,Suwon City FC
08-07-2023,Pohang Steelers,0 - 1,Ulsan Hyundai FC
12-07-2023,Suwon Bluewings,1 - 1,Pohang Steelers
16-07-2023,Pohang Steelers,4 - 2,Jeju United FC
21-07-2023,Pohang Steelers,2 - 1,Jeonbuk Motors
04-08-2023,FC Seoul,2 - 2,Pohang Steelers
13-08-2023,Pohang Steelers,1 - 1,Gwangju FC
20-08-2023,Pohang Steelers,4 - 3,Daejeon Citizen
26-08-2023,Gangwon FC,1 - 1,Pohang Steelers
02-09-2023,Incheon United,0 - 2,Pohang Steelers
16-09-2023,Pohang Steelers,2 - 0,Suwon City FC
24-09-2023,Daegu FC,0 - 0,Pohang Steelers
30-09-2023,Pohang Steelers,0 - 0,Ulsan Hyundai FC
08-10-2023,Suwon Bluewings,1 - 0,Pohang Steelers
20-10-2023,Pohang Steelers,1 - 1,Incheon United
28-10-2023,Jeonbuk Motors,1 - 1,Pohang Steelers
12-11-2023,Ulsan Hyundai FC,3 - 2,Pohang Steelers
25-11-2023,Pohang Steelers,1 - 0,Daegu FC
03-12-2023,Gwangju FC,0 - 0,Pohang Steelers
25-02-2023,Suwon Bluewings,0 - 1,Gwangju FC
05-03-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
11-03-2023,Suwon City FC,2 - 1,Suwon Bluewings
19-03-2023,Suwon Bluewings,1 - 3,Daejeon Citizen
02-04-2023,Suwon Bluewings,1 - 1,Gangwon FC
08-04-2023,Ulsan Hyundai FC,2 - 1,Suwon Bluewings
15-04-2023,Suwon Bluewings,2 - 3,Jeju United FC
22-04-2023,FC Seoul,3 - 1,Suwon Bluewings
25-04-2023,Pohang Steelers,1 - 0,Suwon Bluewings
30-04-2023,Suwon Bluewings,0 - 1,Daegu FC
05-05-2023,Incheon United,0 - 1,Suwon Bluewings
10-05-2023,Suwon Bluewings,0 - 3,Jeonbuk Motors
13-05-2023,Gangwon FC,0 - 2,Suwon Bluewings
21-05-2023,Suwon Bluewings,2 - 3,Ulsan Hyundai FC
27-05-2023,Jeju United FC,2 - 1,Suwon Bluewings
03-06-2023,Suwon Bluewings,1 - 2,Suwon City FC
07-06-2023,Gwangju FC,2 - 1,Suwon Bluewings
11-06-2023,Suwon Bluewings,0 - 0,Incheon United
24-06-2023,Suwon Bluewings,0 - 1,FC Seoul
01-07-2023,Daegu FC,1 - 1,Suwon Bluewings
09-07-2023,Daejeon Citizen,2 - 2,Suwon Bluewings
12-07-2023,Suwon Bluewings,1 - 1,Pohang Steelers
15-07-2023,Suwon Bluewings,3 - 1,Ulsan Hyundai FC
22-07-2023,Gangwon FC,1 - 2,Suwon Bluewings
05-08-2023,Suwon Bluewings,0 - 2,Suwon City FC
12-08-2023,Jeonbuk Motors,1 - 1,Suwon Bluewings
18-08-2023,Suwon Bluewings,1 - 0,Jeju United FC
27-08-2023,Gwangju FC,4 - 0,Suwon Bluewings
02-09-2023,Suwon Bluewings,0 - 1,FC Seoul
17-09-2023,Suwon Bluewings,0 - 1,Daegu FC
23-09-2023,Daejeon Citizen,3 - 1,Suwon Bluewings
30-09-2023,Incheon United,2 - 0,Suwon Bluewings
08-10-2023,Suwon Bluewings,1 - 0,Pohang Steelers
22-10-2023,Jeju United FC,2 - 0,Suwon Bluewings
29-10-2023,Suwon Bluewings,2 - 2,Daejeon Citizen
12-11-2023,Suwon City FC,2 - 3,Suwon Bluewings
25-11-2023,FC Seoul,0 - 1,Suwon Bluewings
02-12-2023,Suwon Bluewings,0 - 0,Gangwon FC
26-02-2023,Jeju United FC,0 - 0,Suwon City FC
04-03-2023,Suwon City FC,1 - 2,Pohang Steelers
11-03-2023,Suwon City FC,2 - 1,Suwon Bluewings
19-03-2023,Ulsan Hyundai FC,3 - 0,Suwon City FC
01-04-2023,Gwangju FC,2 - 0,Suwon City FC
09-04-2023,Suwon City FC,5 - 3,Daejeon Citizen
15-04-2023,Suwon City FC,1 - 0,Jeonbuk Motors
22-04-2023,Incheon United,2 - 2,Suwon City FC
26-04-2023,Suwon City FC,1 - 1,Daegu FC
29-04-2023,Suwon City FC,0 - 3,FC Seoul
06-05-2023,Suwon City FC,2 - 0,Gangwon FC
10-05-2023,Daejeon Citizen,2 - 1,Suwon City FC
14-05-2023,Suwon City FC,0 - 5,Jeju United FC
21-05-2023,Jeonbuk Motors,3 - 1,Suwon City FC
28-05-2023,Suwon City FC,0 - 2,Gwangju FC
03-06-2023,Suwon Bluewings,1 - 2,Suwon City FC
06-06-2023,Suwon City FC,1 - 3,Ulsan Hyundai FC
10-06-2023,Daegu FC,3 - 1,Suwon City FC
25-06-2023,Suwon City FC,1 - 1,Gangwon FC
02-07-2023,Pohang Steelers,3 - 1,Suwon City FC
08-07-2023,Suwon City FC,2 - 2,Incheon United
12-07-2023,FC Seoul,7 - 2,Suwon City FC
16-07-2023,Jeonbuk Motors,1 - 0,Suwon City FC
22-07-2023,Suwon City FC,0 - 1,Gwangju FC
05-08-2023,Suwon Bluewings,0 - 2,Suwon City FC
12-08-2023,Jeju United FC,3 - 0,Suwon City FC
19-08-2023,Gangwon FC,1 - 2,Suwon City FC
25-08-2023,Suwon City FC,1 - 2,Incheon United
01-09-2023,Daejeon Citizen,0 - 1,Suwon City FC
16-09-2023,Pohang Steelers,2 - 0,Suwon City FC
24-09-2023,Suwon City FC,2 - 3,Ulsan Hyundai FC
30-09-2023,Suwon City FC,1 - 1,FC Seoul
08-10-2023,Daegu FC,2 - 2,Suwon City FC
22-10-2023,Daejeon Citizen,1 - 1,Suwon City FC
29-10-2023,Suwon City FC,3 - 4,FC Seoul
12-11-2023,Suwon City FC,2 - 3,Suwon Bluewings
25-11-2023,Gangwon FC,2 - 0,Suwon City FC
02-12-2023,Suwon City FC,1 - 1,Jeju United FC
06-12-2023,Busan I Park,2 - 1,Suwon City FC
25-02-2023,Ulsan Hyundai FC,2 - 1,Jeonbuk Motors
05-03-2023,Gangwon FC,0 - 1,Ulsan Hyundai FC
12-03-2023,FC Seoul,1 - 2,Ulsan Hyundai FC
19-03-2023,Ulsan Hyundai FC,3 - 0,Suwon City FC
02-04-2023,Jeju United FC,1 - 3,Ulsan Hyundai FC
08-04-2023,Ulsan Hyundai FC,2 - 1,Suwon Bluewings
16-04-2023,Daejeon Citizen,2 - 1,Ulsan Hyundai FC
22-04-2023,Ulsan Hyundai FC,2 - 2,Pohang Steelers
25-04-2023,Incheon United,0 - 1,Ulsan Hyundai FC
30-04-2023,Ulsan Hyundai FC,2 - 1,Gwangju FC
05-05-2023,Daegu FC,0 - 3,Ulsan Hyundai FC
09-05-2023,Ulsan Hyundai FC,1 - 0,Gangwon FC
14-05-2023,Ulsan Hyundai FC,3 - 2,FC Seoul
21-05-2023,Suwon Bluewings,2 - 3,Ulsan Hyundai FC
28-05-2023,Ulsan Hyundai FC,3 - 3,Daejeon Citizen
03-06-2023,Jeonbuk Motors,2 - 0,Ulsan Hyundai FC
06-06-2023,Suwon City FC,1 - 3,Ulsan Hyundai FC
10-06-2023,Ulsan Hyundai FC,5 - 1,Jeju United FC
24-06-2023,Ulsan Hyundai FC,3 - 1,Daegu FC
02-07-2023,Gwangju FC,0 - 1,Ulsan Hyundai FC
08-07-2023,Pohang Steelers,0 - 1,Ulsan Hyundai FC
12-07-2023,Ulsan Hyundai FC,1 - 2,Incheon United
15-07-2023,Suwon Bluewings,3 - 1,Ulsan Hyundai FC
21-07-2023,Ulsan Hyundai FC,2 - 1,Jeju United FC
05-08-2023,Daegu FC,0 - 0,Ulsan Hyundai FC
12-08-2023,Gangwon FC,2 - 0,Ulsan Hyundai FC
19-08-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
27-08-2023,FC Seoul,2 - 2,Ulsan Hyundai FC
03-09-2023,Ulsan Hyundai FC,0 - 2,Gwangju FC
16-09-2023,Ulsan Hyundai FC,1 - 1,Daejeon Citizen
24-09-2023,Suwon City FC,2 - 3,Ulsan Hyundai FC
30-09-2023,Pohang Steelers,0 - 0,Ulsan Hyundai FC
08-10-2023,Ulsan Hyundai FC,0 - 0,Incheon United
21-10-2023,Gwangju FC,1 - 0,Ulsan Hyundai FC
29-10-2023,Ulsan Hyundai FC,2 - 0,Daegu FC
12-11-2023,Ulsan Hyundai FC,3 - 2,Pohang Steelers
24-11-2023,Incheon United,3 - 1,Ulsan Hyundai FC
03-12-2023,Ulsan Hyundai FC,1 - 0,Jeonbuk Motors
